SALESORDERID,HISTORY_CREATEDBY_EMPLOYEEID,HISTORY_CREATEDAT,HISTORY_CHANGEDBY_EMPLOYEEID,HISTORY_CHANGEDAT,PARTNER_PARTNERID,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,HEADER_SALESORDERID,PRODUCT_PRODUCTID,NOTEID,CURRENCY,ITEMATPSTATUS,OPITEMPOS,QUANTITYUNIT,DELIVERYDATE,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY
500000017,31,1/18/2016,9,2/1/2015,100000005,P,P,D,500000017,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
500000017,31,1/18/2016,9,2/1/2015,100000005,P,P,D,500000017,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000018,3,1/19/2016,17,2/2/2015,100000002,C,P,D,500000018,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000018,3,1/19/2016,17,2/2/2015,100000002,C,P,D,500000018,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000019,12,1/20/2016,31,2/3/2015,100000009,N,I,I,500000019,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000019,12,1/20/2016,31,2/3/2015,100000009,N,I,I,500000019,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000020,18,1/21/2016,17,2/4/2015,100000000,N,I,I,500000020,HT-1082,,ARS,I,,EA,12/4/2015,402.22,338,64.22,2
500000020,18,1/21/2016,17,2/4/2015,100000000,N,I,I,500000020,HT-1083,,CNY,I,,EA,12/4/2015,1237.6,1040,197.6,2
500000021,6,1/22/2016,9,2/5/2015,100000002,P,P,D,500000021,HT-1113,,EUR,I,,EA,12/4/2015,5.47,4.6,0.87,2
500000021,6,1/22/2016,9,2/5/2015,100000002,P,P,D,500000021,HT-1114,,USD,I,,EA,12/4/2015,82.11,69,13.11,1
500000022,18,1/23/2016,13,2/6/2015,100000006,N,I,I,500000022,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000022,18,1/23/2016,13,2/6/2015,100000006,N,I,I,500000022,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000023,32,1/24/2016,32,2/7/2015,100000008,C,P,D,500000023,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000023,32,1/24/2016,32,2/7/2015,100000008,C,P,D,500000023,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000024,24,1/25/2016,18,2/8/2015,100000005,P,P,D,500000024,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000024,24,1/25/2016,18,2/8/2015,100000005,P,P,D,500000024,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000025,18,1/26/2016,15,2/9/2015,100000003,C,P,D,500000025,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000025,18,1/26/2016,15,2/9/2015,100000003,C,P,D,500000025,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000026,14,1/27/2016,28,2/10/2015,100000003,N,I,I,500000026,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000026,14,1/27/2016,28,2/10/2015,100000003,N,I,I,500000026,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000027,17,1/28/2016,14,2/11/2015,100000003,C,P,D,500000027,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000027,17,1/28/2016,14,2/11/2015,100000003,C,P,D,500000027,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000028,16,1/29/2016,28,2/12/2015,100000008,C,P,D,500000028,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000028,16,1/29/2016,28,2/12/2015,100000008,C,P,D,500000028,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000029,27,1/30/2016,23,2/13/2015,100000004,N,I,I,500000029,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000029,27,1/30/2016,23,2/13/2015,100000004,N,I,I,500000029,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000030,32,1/31/2016,26,2/14/2015,100000006,P,I,D,500000030,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000030,32,1/31/2016,26,2/14/2015,100000006,P,I,D,500000030,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000031,30,2/1/2016,17,2/15/2015,100000004,C,P,D,500000031,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000031,30,2/1/2016,17,2/15/2015,100000004,C,P,D,500000031,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000032,31,2/2/2016,29,2/16/2015,100000006,N,I,I,500000032,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000032,31,2/2/2016,29,2/16/2015,100000006,N,I,I,500000032,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000033,5,2/3/2016,31,2/17/2015,100000009,N,I,I,500000033,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000033,5,2/3/2016,31,2/17/2015,100000009,N,I,I,500000033,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000034,26,2/4/2016,1,2/18/2015,100000000,N,I,I,500000034,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000034,26,2/4/2016,1,2/18/2015,100000000,N,I,I,500000034,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000035,2,2/5/2016,12,2/19/2015,100000002,P,P,I,500000035,HT-1085,,DKK,I,,EA,12/4/2015,3567.62,2998,569.62,2
500000035,2,2/5/2016,12,2/19/2015,100000002,P,P,I,500000035,HT-1090,,EUR,I,,EA,12/4/2015,92.82,78,14.82,2
500000036,13,2/6/2016,23,2/20/2015,100000003,X,I,I,500000036,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000036,13,2/6/2016,23,2/20/2015,100000003,X,I,I,500000036,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000037,12,2/7/2016,7,2/21/2015,100000005,P,P,D,500000037,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000037,12,2/7/2016,7,2/21/2015,100000005,P,P,D,500000037,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000038,27,2/8/2016,32,2/22/2015,100000006,C,P,D,500000038,HT-1070,,ARS,I,,EA,12/4/2015,84.37,70.9,13.47,1
500000038,27,2/8/2016,32,2/22/2015,100000006,C,P,D,500000038,HT-1071,,ZAR,I,,EA,12/4/2015,291.67,245.1,46.57,3
500000039,15,2/9/2016,31,2/23/2015,100000006,C,P,D,500000039,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000039,15,2/9/2016,31,2/23/2015,100000006,C,P,D,500000039,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000040,27,2/10/2016,5,2/24/2015,100000008,N,I,I,500000040,HT-1113,,EUR,I,,EA,12/4/2015,8.21,6.9,1.31,3
500000040,27,2/10/2016,5,2/24/2015,100000008,N,I,I,500000040,HT-1114,,USD,I,,EA,12/4/2015,164.22,138,26.22,2
500000041,7,2/11/2016,21,2/25/2015,100000004,C,P,D,500000041,HT-1117,,EUR,I,,EA,12/4/2015,90.44,76,14.44,2
500000041,7,2/11/2016,21,2/25/2015,100000004,C,P,D,500000041,HT-1118,,ARS,I,,EA,12/4/2015,94.01,79,15.01,1
500000042,15,2/12/2016,8,2/26/2015,100000002,X,I,I,500000042,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
500000042,15,2/12/2016,8,2/26/2015,100000002,X,I,I,500000042,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000043,6,2/13/2016,17,2/27/2015,100000005,P,P,D,500000043,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000043,6,2/13/2016,17,2/27/2015,100000005,P,P,D,500000043,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000044,27,2/14/2016,32,2/28/2015,100000009,C,P,D,500000044,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000044,27,2/14/2016,32,2/28/2015,100000009,C,P,D,500000044,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000045,3,2/15/2016,20,2/28/2015,100000000,C,P,D,500000045,HT-1210,,EUR,I,,EA,12/4/2015,5709.62,4798,911.62,2
500000045,3,2/15/2016,20,2/28/2015,100000000,C,P,D,500000045,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000046,15,2/16/2016,23,3/1/2015,100000002,X,I,I,500000046,HT-1063,,BRL,I,,EA,12/4/2015,33.32,28,5.32,2
500000046,15,2/16/2016,23,3/1/2015,100000002,X,I,I,500000046,HT-1064,,CAD,I,,EA,12/4/2015,19.04,16,3.04,1
500000047,11,2/17/2016,10,3/2/2015,100000008,C,P,D,500000047,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000047,11,2/17/2016,10,3/2/2015,100000008,C,P,D,500000047,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000048,16,2/18/2016,29,3/3/2015,100000006,C,P,D,500000048,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000048,16,2/18/2016,29,3/3/2015,100000006,C,P,D,500000048,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000049,33,2/19/2016,8,3/4/2015,100000005,N,I,I,500000049,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000049,33,2/19/2016,8,3/4/2015,100000005,N,I,I,500000049,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000050,28,2/20/2016,29,3/5/2015,100000026,N,I,I,500000050,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000050,28,2/20/2016,29,3/5/2015,100000026,N,I,I,500000050,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000051,17,2/21/2016,30,3/6/2015,100000025,C,P,D,500000051,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000051,17,2/21/2016,30,3/6/2015,100000025,C,P,D,500000051,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000052,11,2/22/2016,19,3/7/2015,100000022,X,I,I,500000052,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000052,11,2/22/2016,19,3/7/2015,100000022,X,I,I,500000052,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000053,14,2/23/2016,27,3/8/2015,100000024,C,P,D,500000053,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000053,14,2/23/2016,27,3/8/2015,100000024,C,P,D,500000053,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000054,6,2/24/2016,3,3/9/2015,100000024,P,I,I,500000054,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000054,6,2/24/2016,3,3/9/2015,100000024,P,I,I,500000054,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000055,6,2/25/2016,6,3/10/2015,100000021,C,P,D,500000055,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000055,6,2/25/2016,6,3/10/2015,100000021,C,P,D,500000055,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000056,19,2/26/2016,22,3/11/2015,100000023,C,P,D,500000056,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000056,19,2/26/2016,22,3/11/2015,100000023,C,P,D,500000056,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000057,1,2/27/2016,17,3/12/2015,100000019,N,I,I,500000057,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000057,1,2/27/2016,17,3/12/2015,100000019,N,I,I,500000057,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000058,13,2/28/2016,24,3/13/2015,100000026,X,I,I,500000058,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000058,13,2/28/2016,24,3/13/2015,100000026,X,I,I,500000058,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000059,31,2/28/2016,30,3/14/2015,100000026,P,I,D,500000059,HT-1040,,EUR,I,,EA,12/4/2015,1975.4,1660,315.4,2
500000059,31,2/28/2016,30,3/14/2015,100000026,P,I,D,500000059,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000060,31,3/1/2016,11,3/15/2015,100000025,P,P,I,500000060,HT-1070,,ARS,I,,EA,12/4/2015,168.74,141.8,26.94,2
500000060,31,3/1/2016,11,3/15/2015,100000025,P,P,I,500000060,HT-1071,,ZAR,I,,EA,12/4/2015,194.45,163.4,31.05,2
500000061,23,3/2/2016,16,3/16/2015,100000019,C,P,D,500000061,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000061,23,3/2/2016,16,3/16/2015,100000019,C,P,D,500000061,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000062,4,3/3/2016,28,3/17/2015,100000022,N,I,I,500000062,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000062,4,3/3/2016,28,3/17/2015,100000022,N,I,I,500000062,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000063,17,3/4/2016,23,3/18/2015,100000024,P,I,D,500000063,HT-1022,,ARS,I,,EA,12/4/2015,243.95,205,38.95,1
500000063,17,3/4/2016,23,3/18/2015,100000024,P,I,D,500000063,HT-1023,,USD,I,,EA,12/4/2015,853.23,717,136.23,3
500000064,12,3/5/2016,11,3/19/2015,100000024,N,I,I,500000064,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000064,12,3/5/2016,11,3/19/2015,100000024,N,I,I,500000064,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000065,25,3/6/2016,22,3/20/2015,100000021,C,P,D,500000065,HT-1055,,EUR,I,,EA,12/4/2015,353.43,297,56.43,3
500000065,25,3/6/2016,22,3/20/2015,100000021,C,P,D,500000065,HT-1056,,JPY,I,,EA,12/4/2015,283.22,238,45.22,2
500000066,19,3/7/2016,31,3/21/2015,100000019,N,I,I,500000066,HT-1067,,EUR,I,,EA,12/4/2015,8.33,7,1.33,2
500000066,19,3/7/2016,31,3/21/2015,100000019,N,I,I,500000066,HT-1068,,USD,I,,EA,12/4/2015,4.17,3.5,0.67,1
500000067,17,3/8/2016,14,3/22/2015,100000022,C,P,D,500000067,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
500000067,17,3/8/2016,14,3/22/2015,100000022,C,P,D,500000067,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000068,19,3/9/2016,16,3/23/2015,100000025,P,P,I,500000068,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000068,19,3/9/2016,16,3/23/2015,100000025,P,P,I,500000068,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000069,11,3/10/2016,29,3/24/2015,100000026,N,I,I,500000069,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000069,11,3/10/2016,29,3/24/2015,100000026,N,I,I,500000069,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000070,4,3/11/2016,17,3/25/2015,100000026,X,I,I,500000070,HT-1082,,ARS,I,,EA,12/4/2015,402.22,338,64.22,2
500000070,4,3/11/2016,17,3/25/2015,100000026,X,I,I,500000070,HT-1083,,CNY,I,,EA,12/4/2015,1237.6,1040,197.6,2
500000071,22,3/12/2016,23,3/26/2015,100000025,N,I,I,500000071,HT-1113,,EUR,I,,EA,12/4/2015,5.47,4.6,0.87,2
500000071,22,3/12/2016,23,3/26/2015,100000025,N,I,I,500000071,HT-1114,,USD,I,,EA,12/4/2015,82.11,69,13.11,1
500000072,19,3/13/2016,16,3/27/2015,100000024,N,I,I,500000072,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000072,19,3/13/2016,16,3/27/2015,100000024,N,I,I,500000072,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000073,15,3/14/2016,6,3/28/2015,100000021,N,I,I,500000073,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000073,15,3/14/2016,6,3/28/2015,100000021,N,I,I,500000073,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000074,3,3/15/2016,30,3/29/2015,100000022,C,P,D,500000074,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000074,3,3/15/2016,30,3/29/2015,100000022,C,P,D,500000074,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000075,16,3/16/2016,33,3/30/2015,100000023,X,I,I,500000075,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000075,16,3/16/2016,33,3/30/2015,100000023,X,I,I,500000075,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000076,32,3/17/2016,8,3/31/2015,100000023,P,I,D,500000076,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000076,32,3/17/2016,8,3/31/2015,100000023,P,I,D,500000076,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000077,2,3/18/2016,21,4/1/2015,100000023,C,P,D,500000077,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000077,2,3/18/2016,21,4/1/2015,100000023,C,P,D,500000077,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000078,28,3/19/2016,31,4/2/2015,100000021,C,P,D,500000078,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000078,28,3/19/2016,31,4/2/2015,100000021,C,P,D,500000078,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000079,4,3/20/2016,4,4/3/2015,100000019,N,I,I,500000079,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000079,4,3/20/2016,4,4/3/2015,100000019,N,I,I,500000079,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000080,29,3/21/2016,1,4/4/2015,100000024,P,I,D,500000080,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000080,29,3/21/2016,1,4/4/2015,100000024,P,I,D,500000080,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000081,9,3/22/2016,17,4/5/2015,100000019,C,P,D,500000081,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000081,9,3/22/2016,17,4/5/2015,100000019,C,P,D,500000081,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000082,15,3/23/2016,19,4/6/2015,100000024,N,I,I,500000082,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000082,15,3/23/2016,19,4/6/2015,100000024,N,I,I,500000082,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000083,8,3/24/2016,19,4/7/2015,100000026,C,P,D,500000083,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000083,8,3/24/2016,19,4/7/2015,100000026,C,P,D,500000083,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000084,28,3/25/2016,26,4/8/2015,100000026,C,P,D,500000084,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000084,28,3/25/2016,26,4/8/2015,100000026,C,P,D,500000084,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000085,4,3/26/2016,15,4/9/2015,100000025,X,I,I,500000085,HT-1085,,DKK,I,,EA,12/4/2015,3567.62,2998,569.62,2
500000085,4,3/26/2016,15,4/9/2015,100000025,X,I,I,500000085,HT-1090,,EUR,I,,EA,12/4/2015,92.82,78,14.82,2
500000086,10,3/27/2016,15,4/10/2015,100000023,C,P,D,500000086,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000086,10,3/27/2016,15,4/10/2015,100000023,C,P,D,500000086,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000087,27,3/28/2016,27,4/11/2015,100000022,X,I,I,500000087,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000087,27,3/28/2016,27,4/11/2015,100000022,X,I,I,500000087,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000088,26,3/29/2016,7,4/12/2015,100000024,P,I,D,500000088,HT-1070,,ARS,I,,EA,12/4/2015,84.37,70.9,13.47,1
500000088,26,3/29/2016,7,4/12/2015,100000024,P,I,D,500000088,HT-1071,,ZAR,I,,EA,12/4/2015,291.67,245.1,46.57,3
500000089,3,3/30/2016,2,4/13/2015,100000024,N,I,I,500000089,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000089,3,3/30/2016,2,4/13/2015,100000024,N,I,I,500000089,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000090,17,3/31/2016,5,4/14/2015,100000021,N,I,I,500000090,HT-1113,,EUR,I,,EA,12/4/2015,8.21,6.9,1.31,3
500000090,17,3/31/2016,5,4/14/2015,100000021,N,I,I,500000090,HT-1114,,USD,I,,EA,12/4/2015,164.22,138,26.22,2
500000091,25,4/1/2016,18,4/15/2015,100000019,N,I,I,500000091,HT-1117,,EUR,I,,EA,12/4/2015,90.44,76,14.44,2
500000091,25,4/1/2016,18,4/15/2015,100000019,N,I,I,500000091,HT-1118,,ARS,I,,EA,12/4/2015,94.01,79,15.01,1
500000092,22,4/2/2016,29,4/16/2015,100000025,X,I,I,500000092,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
